Food_ID,Food name and Description,Alternate/Common name(s),Water (g),"Energy, calculated (kcal)",Protein (g),Total Fat (g),"Carbohydrate, total (g)","Ash, total (g)",Image Link
D019,"Bitter melon/gourd fruit, boiled","Ampalaya bunga, nilaga",95.3,19,0.4,0.2,3.8,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0191.png
D020,Bitter melon/gourd lvs,Ampalaya dahon,90.6,34,4.2,0.6,3,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D020_BitterMelonLeaves1.jpg
D021,"Bitter melon/gourd lvs, boiled","Ampalaya dahon, nilaga",87.6,50,2.2,0.6,9,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0211.png
D023,Blue pea pod,Pukinggan bunga/Asian pigeonwings pod,82.8,68,3.8,0.4,12.2,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0231.png
D024,Borreria lvs & stems,Siksik parang dahon at tangkay/Slender false buttonweed,80.7,68,1.7,0.2,14.8,2.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa26.jpg
D025,Bottle gourd fruit,Upo bunga,95,20,0.4,0.1,4.3,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0201.png
D026,"Bottle gourd fruit, boiled","Upo bunga, nilaga",95.8,16,0.2,0,3.8,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D021copy1.png
D027,Bottle gourd lvs,Upo dahon,88.4,43,3.3,0.6,6.2,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0271.png
D028,"Bottle gourd lvs, boiled","Upo dahon, nilaga",94.1,22,1.7,0.3,3.2,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D028.png
D029,Breadfruit fruit,Rimas bunga,83.6,65,2.4,0.5,12.8,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa27.jpg
D030,Breadnut fruit,Kamansi bunga,86.8,55,2.5,1.1,8.7,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D030.png
D031,Breadnut seed,Kamansi buto,83,72,3.4,1.2,11.9,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D031.png
D032,Bulak-bulakan pod,N/A,82.8,68,1.6,0.9,13.4,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa28.jpg
D033,Busi-busi lvs,N/A,87,54,3.1,2,6,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa29.jpg
D035,"Cabbage, green","Repolyo, berde",91.8,31,1.6,0.1,5.9,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D035.jpg
D036,"Cabbage, green, boiled","Repolyo, berde, nilaga",94,23,0.6,0.1,5,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D036.jpg
D037,"Cabbage, red","Repolyo, pula",91.6,32,1.6,0.2,6,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D037.jpg
D038,"Cabbage, red, boiled","Repolyo, pula, nilaga",92.9,28,0.9,0.2,5.6,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/DSC_01281.JPG
D039,Carrot,Karot,89.1,42,1.1,0.3,8.6,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D039_Carrot1.jpg
D040,"Carrot, boiled","Karot, nilaga",89.2,42,1.1,0.4,8.6,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D040.png
D041,"Cashew, young lvs",Kasuy talbos,71.4,113,4.9,0.6,22,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D041.jpg
D042,"Cashew, young lvs, boiled","Kasuy talbos, nilaga",85.7,57,2.4,0.4,10.9,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa30.jpg
D043,Cassava lvs,Kamoteng kahoy/Balinghoy dahon,79.4,83,7.1,1.4,10.5,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D043.jpg
D044,"Cassava lvs, boiled","Kamoteng kahoy/Balinghoy dahon, nilaga",89.5,43,3.4,0.7,5.7,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D044.png
D045,Cauliflower,N/A,91.7,32,2.1,0.3,5.2,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0451.jpg
D046,"Cauliflower, boiled",N/A,93.1,27,1.5,0.2,4.8,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0461.jpg
D047,Celery lvs & petioles,Baguio celery dahon at tangkay,92.7,25,1.2,0,5.1,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0471.png
D048,"Celery, Chinese, lvs & petioles",Kinchay dahon at tangkay/Leaf celery,89.9,37,2.4,0.6,5.4,1.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D048.png
D049,"Celery, Chinese, lvs & petioles, boiled","Kinchay dahon at tangkay, nilaga/Leaf celery, boiled",92.8,27,1.4,0.1,5,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D049.png
D050,Chayote fruit,Sayote bunga/Vegetable pear fruit,94.1,23,0.5,0.1,5.1,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D050_ChayoteFruit.jpg
D051,"Chayote fruit, boiled","Sayote bunga, nilaga/Vegetable pear fruit, boiled",96,16,0.3,0.1,3.5,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0511.png
D052,Chayote lvs,Sayote dahon/Vegetable pear lvs,88.5,44,4.6,0.3,5.7,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa31.jpg
D053,"Chayote lvs, boiled","Sayote dahon, nilaga/Vegetable pear lvs, boiled",94.4,21,2.5,0.2,2.3,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa32.jpg
D054,Chinese cabbage,Pechay Baguio/Napa cabbage,94.4,21,1.7,0.3,2.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0541.png
D055,"Chinese cabbage, boiled","Pechay Baguio, nilaga/Napa cabbage, boiled",96.2,15,1,0.1,2.4,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0551.png
D056,Coconut cotyledon,Niyog tumbong,84.3,67,1.7,1.8,11.1,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D056.png
D057,"Coconut, heart of palm",Niyog ubod,87.8,47,4.3,0.8,5.7,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0571.png
D059,Fragrant manjack lvs,Anonang dahon,83.1,61,4.6,0.3,9.9,2.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D059.png
D060,Coriander lvs,Cilantro/Wansoy dahon,89.8,37,3,0.6,4.8,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D060.png
D061,Cowpea lvs,Paayap dahon,88.3,49,4.9,1.4,4.3,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0611.png
D062,"Cowpea lvs, boiled","Paayap dahon, nilaga",92.5,30,1.9,0.4,4.6,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa33.jpg
D063,Cowpea pod,Paayap bunga,87,51,3.4,0.4,8.5,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0631.png
D064,"Cowpea pod, boiled","Paayap bunga, nilaga",86.8,52,2.8,0.4,9.4,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa34.jpg
D065,"Cowpea seed, fresh","Paayap buto, sariwa",77.5,86,5.1,0.1,16.1,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0651.png
D066,Crown daisy lvs,Tangó dahon/Garland chrysanthemum lvs,93.5,23,2.3,0.4,2.6,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0661.png
D067,"Kutcharitas lvs, green","Calico plant lvs, green",85.6,54,2.6,0.8,9.2,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D067version2.png
D068,"Kutcharitas lvs, red","Calico plant lvs, red",77.4,84,2.3,0.6,17.4,2.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D068.png
D069,Cucumber,Pipino,95.9,16,0.5,0.1,3.2,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0691.png
D070,East Indian lotus fruit,Baino bunga,80.4,80,4.1,1.1,13.5,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa35.jpg
D071,East Indian lotus lvs,Baino dahon,88.2,46,4.7,0.8,5,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa36.jpg
D072,"East Indian lotus lvs, boiled","Baino dahon, nilaga",92.8,28,2.9,0.4,3.1,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa36.jpg
D073,Eggplant,Talong/Aubergine,92.7,29,1.2,0.2,5.5,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D073.jpg
D074,"Eggplant, boiled","Talong, nilaga/Aubergine, boiled",93.6,25,1,0.1,4.9,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0741.png
D075,Endive lvs,Eskarola dahon,91.8,29,1.6,0.2,5.3,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa38.jpg
D077,"Flowering fern, lvs",Tukod langit dahon/Kamraj lvs,82.9,68,3,0.6,12.6,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa39.jpg
D078,Foetid cassia lvs,Katanda dahon,76.9,88,4.4,1,15.3,2.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa40.jpg
D079,Fragrant premna lvs,Alagaw dahon,74.8,100,5.4,1.1,17,1.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D079.png
D080,"Fragrant premna lvs, boiled","Alagaw dahon, nilaga",86.5,53,1.1,0.3,11.4,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa41.jpg
D081,"Galo fruit, whole",N/A,59.6,165,3.9,1.8,33.4,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa42.jpg
D082,"Galo pulp, boiled",N/A,79.6,80,3,0.4,16.2,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa43.jpg
D083,"Galo seed, boiled",N/A,49.9,215,5.1,3.7,40.3,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa44.jpg
D084,Garlic bulb,Bawang ulo,66.5,129,7,0.3,24.6,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D084.jpg
D085,Garlic lvs,Bawang dahon,87.1,50,2,0.6,9.2,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa45.jpg
D086,"Garlic lvs, boiled","Bawang dahon, nilaga",88.9,45,1.1,0.6,8.8,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa46.jpg
D087,Garlic lvs & bulb,Bawang dahon at ulo,80.3,79,2.6,0.6,15.8,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa47.jpg
D088,Glynus lvs,Sarsalida/Papait dahon,90,39,3.7,0.8,4.2,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa48.jpg
D089,Guava lvs,Bayabas dahon,68.3,131,4.5,2.4,22.9,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D089.jpg
D090,Himbaba-o flower,Alokon bulaklak,82.9,68,6.3,1.1,8.1,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D090_Himbabao.jpg
D091,"Himbaba-o flower, boiled","Alokon bulaklak, nilaga",86.8,52,2.9,0.9,8.1,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0911.png
D092,Himbaba-o lvs,Alokon dahon,78.3,86,5.8,1.4,12.6,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D092.png
D093,"Himbaba-o lvs, boiled","Alokon dahon, nilaga",88,49,1.6,0.5,9.6,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D092.png
D094,Horseradish tree lvs,Malunggay dahon/Drumstick tree lvs,72.9,108,9.7,2,12.7,2.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D094_HorseradishTreeLeaves1.jpg
D095,"Horseradish tree lvs, boiled","Malunggay dahon, nilaga/ Drumstick tree lvs, boiled",84.7,63,3.1,0.9,10.6,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D095.jpg
D096,"Horseradish tree lvs, dwarf","Malunggay dahon, unano",79.8,89,9,3.1,6.2,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa49.jpg
D097,"Horseradish tree lvs, dwarf, boiled","Malunggay dahon, unano, nilaga",89,48,3,1,6.8,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa50.jpg
D098,"Horseradish tree lvs, Japanese","Malunggay dahon, Hapon",85.4,60,6.2,1.6,5.2,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D098.png
D099,"Horseradish tree lvs, Japanese, boiled","Malunggay dahon, Hapon, nilaga",90.1,42,2.4,1.1,5.5,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D099.png
D100,Horseradish tree pod,Malunggay bunga,76.2,93,2.5,0.4,19.9,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D100_copy1.png
D101,"Horseradish tree pod, boiled","Malunggay bunga, nilaga",93.6,25,1.1,0.2,4.6,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa52.jpg
D102,Hyacinth bean pod,Bataw bunga,88.6,45,2.5,0.4,7.8,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D102_HyacinthBeanPod.jpg
D103,"Hyacinth bean pod, boiled","Bataw bunga, nilaga",91.4,34,1.3,0.1,6.9,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa52.jpg
D104,"Jackfruit fruit, unripe","Langka bunga, hilaw",85.6,58,2,0.6,11.1,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D104.jpg
D105,Jackfruit seed,Langka buto,58.1,164,5.5,0.5,34.4,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1051.png
D106,"Jackfruit seed, boiled","Langka buto, nilaga",60.4,156,4.5,0.3,33.7,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1061.png
D107,Jute lvs,Saluyot/Pasaw dahon,82,71,6.1,1.1,9.1,1.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D107_JuteLeaves1.jpg
D108,"Jute lvs, boiled","Saluyot/Pasaw dahon, nilaga",89.1,44,2.9,0.6,6.8,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1081.png
D111,Lagikway lvs,Sunset muskmallow lvs,86,54,4,1.2,6.8,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D111.jpg
D112,"Lagikway lvs, boiled","Sunset muskmallow lvs, boiled",92.4,30,1.3,0.4,5.3,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D112.jpg
D113,Chinese leek lvs,Kutsay dahon/Chinese chives lvs,91.3,34,2.4,0.7,4.6,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1131.png
D114,"Chinese leek lvs, boiled","Kutsay dahon, nilaga/Chinese chives lvs, boiled",95,19,1.3,0.4,2.6,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1141.png
D115,Lettuce lvs & petioles,Letsugas dahon at tangkay,94.1,22,1.3,0.4,3.4,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1151.png
D116,"Lettuce tree, young lvs",Koles maluko talbos,88.5,43,3.6,1,5,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa53.jpg
D117,"Lettuce tree, young lvs, boiled","Koles maluko talbos, nilaga",93.4,26,0.7,1.2,3.1,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa53.jpg
D118,Lima bean pod,Patani bunga,67.7,126,8.3,0.7,21.7,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa55.jpg
D119,"Lima bean pod, boiled","Patani bunga, nilaga",74.4,100,7,0.3,17.2,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa56.jpg
D120,"Limang sugat, young lvs",N/A,85,56,3.4,0.2,10.1,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa57.jpg
D121,Malabar nightshade lvs,Alugbati dahon/Spinach vine lvs,91.3,33,2.4,0.4,5,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D121_MalabarNightshadeLeaves.jpg
D122,"Malabar nightshade lvs, boiled","Alugbati dahon, nilaga",94.4,21,0.6,0.2,4.3,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1221.png
D123,Malibaddu,Lubeg,87,50,1.2,0.2,10.8,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa58.jpg
D124,"Mango, young lvs",Mangga talbos,76.9,90,3,0.7,17.8,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D124.png
D125,"Mango, young lvs, boiled","Mangga talbos, nilaga",87.4,50,1.6,0.4,9.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D125.png
D126,Marrow-stem kale lvs and stems,Kales dahon at tangkay,90.5,34,3.1,0.5,4.3,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa59.jpg
D127,Mexican lilac flower,Kakawati bulaklak,85.6,58,2.8,0.7,10.1,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa60.jpg
D128,"Mexican lilac flowers, boiled","Kakawati bulaklak, nilaga",92.2,31,1.4,0.2,5.8,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa61.jpg
D129,Morning glory lvs,Malakamote dahon,84.7,57,4,0.4,9.3,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa62.jpg
D130,"Mung bean seed, fresh","Munggo buto, sariwa",69.3,119,7.7,0.2,21.6,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D130_1.png
D131,Mung bean sprout,Toge,83.5,64,5.7,0.1,10,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1311.jpg
D132,"Mung bean sprout, boiled","Toge, nilaga",86.8,54,4.8,0.7,7,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1321.jpg
D133,"Mushroom, fresh","Kabuti, sariwa",87.7,48,3.8,0.6,6.9,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1331.png
D134,Mustard lvs,Mustasa dahon,93.5,24,2.3,0.4,2.7,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1341.png
D135,"Mustard lvs, boiled","Mustasa dahon, nilaga",94.8,21,1.3,0.6,2.7,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1351.png
D137,New Zealand spinach lvs,Ispinaka dahon,90.9,33,3.3,0.5,3.7,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D137.png
D138,"New Zealand spinach lvs, boiled","Ispinaka dahon, nilaga",92.9,28,1.4,0.3,4.9,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D138.png
D139,Okra,Ladyfinger,91.3,34,1.8,0.3,5.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D139.jpg
D140,"Okra, boiled","Ladyfinger, boiled",92.2,30,1,0.2,6.1,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D140_copy1.png
D141,"Onion, Bombay bulb","Sibuyas, Bombay ulo",87,52,1.7,0.3,10.5,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D141.jpg
D142,"Onion, Bombay bulb, boiled","Sibuyas, Bombay ulo, nilaga",88.3,47,1.2,0.4,9.7,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D142.jpg
D143,"Onion, garden shallot bulb","Sibuyas, Tagalog ulo",83.1,68,1.7,0.5,14.1,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1431.png
D144,"Onion, garden shallot bulb, boiled","Sibuyas, Tagalog ulo, nilaga",84.6,62,1.1,0.5,13.3,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D144.png
D145,"Onion, garden shallot lvs","Sibuyas, Tagalog, dahon",91.1,37,1.7,1,5.4,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D145.png
D146,"Onion, garden shallot lvs, boiled","Sibuyas, Tagalog, dahon, nilaga",93.6,27,1.3,0.6,4.1,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D146.png
D147,"Onion, spring","Sibuyas, mura",90,41,1.8,0.5,7.2,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1471.png
D148,"Onion, spring, boiled","Sibuyas, mura, nilaga",90.7,36,1.3,0.4,6.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa63.jpg
D149,Pako fern lvs,Fiddlehead fern lvs/Vegetable fern lvs,91.5,31,3.2,0.4,3.7,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa63.jpg
D150,"Pako fern lvs, boiled","Fiddlehead fern lvs, boiled",91.6,33,1.9,0.4,5.5,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1501.png
D151,"Palm-like fig, young lvs","Philippine fig, young lvs/Lubi-lubi talbos",87.2,50,3.9,0.7,6.9,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa64.jpg
D152,"Palm-like fig, young lvs, boiled","Philippine fig, young lvs, boiled/Lubi-lubi talbos, nilaga",94.9,19,1.2,0.2,3.2,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa65.jpg
D153,Pansit-pansitan,Olasiman-bato,95.6,15,0.9,0.2,2.5,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D153_Pansitpansitan.jpg
D154,"Papaya fruit, unripe",N/A,92.9,27,1,0.1,5.5,0.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/D154_papaya_fruit,_unripe1.png"
D155,"Papaya, young lvs",N/A,73.5,106,6.1,1.6,16.7,2.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D155.png
D156,"Papaya, young lvs, boiled",N/A,83,67,4.6,1.2,9.5,1.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D156.png
D157,Papaya petioles,N/A,92,27,0.6,0.2,5.8,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D157.png
D158,"Papaya petioles, boiled",N/A,93.3,24,0.7,0.2,4.9,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D158.png
D159,Parsley lvs,N/A,84.2,58,4,0.9,8.4,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1591.png
D160,Pechay lvs,Petsay dahon,93.9,22,2.1,0.4,2.6,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D160.jpg
D161,"Pechay lvs, boiled","Petsay dahon, nilaga",94.6,21,1.7,0.5,2.4,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1611.png
D162,Pechay petioles,Petsay tangkay,96.1,14,0.6,0.3,2.1,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1621.png
D163,"Pechay petioles, boiled","Petsay tangkay, nilaga",96.7,11,0.4,0.2,1.9,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1631.png
D164,"Pepper, chili fruit","Sili, labuyo, bunga",72.2,75,4.8,2.2,9,11.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D164.jpg
D165,"Pepper, chili lvs","Sili, labuyo, dahon",84.4,60,5.8,1.2,6.4,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D165.jpg
D166,"Pepper, chili lvs, boiled","Sili, labuyo, dahon, nilaga",86.8,52,1.8,0.3,10.5,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1661.png
D167,"Pepper, sweet/bell long, green","Sili, sweet/bell, mahaba, berde",89,44,1.8,0.5,8.1,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1671.png
D168,"Pepper, sweet/bell, long, green, boiled","Sili, sweet/bell, mahaba, berde, nilaga",92.1,32,0.9,0.3,6.4,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1681.png
D169,"Pepper, sweet/bell, long, red","Sili, sweet/bell, mahaba, pula",81.5,75,2.4,0.9,14.4,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1691.png
D170,"Pepper, sweet/bell, round, green","Sili, sweet/bell, bilog, berde",92.9,28,0.9,0.2,5.6,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D170.jpg
D171,"Pepper, sweet/bell, round, green, boiled","Sili, sweet/bell, bilog, berde, nilaga",95.8,17,0.5,0.2,3.2,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D171.jpg
D172,"Pepper, sweet/bell, round, red","Sili, sweet/bell, bilog, pula",90.9,36,0.5,0.3,7.8,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D171.jpg
D173,Philippine spinach lvs,Talinum dahon/Ceylon spinach lvs,91.7,29,2.7,0.5,3.5,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1721.png
D174,"Philippine spinach lvs, boiled","Talinum dahon, nilaga/Ceylon spinach lvs, boiled",93.8,23,0.8,0.2,4.6,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D173_PhilippineSpinachLeaves.jpg
D175,Pigeon pea pod,Kadyos bunga,61.7,149,8.2,0.7,27.4,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D174.jpg
D176,"Pigeon pea pod, boiled","Kadyos bunga, nilaga",78.4,84,5.6,0.3,14.7,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D174.jpg
D177,"Pigeon pea seed, fresh","Kadyos buto, sariwa",62.6,143,8.2,0.7,26,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1751.png
D178,Malabar bauhinia lvs,Alibangbang/Alambangbang dahon,86.4,60,2.5,1.6,8.9,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1761.png
D179,"Prickly chaff-flower, lvs",Lupo-lupo/Hangod,85,59,6.4,1,6.2,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1771.png
D180,Purslane lvs,Olasiman dahon,90.8,31,2.3,0.4,4.5,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1781.png
D181,"Purslane lvs, boiled","Olasiman dahon, nilaga",92.8,26,1.3,0.3,4.6,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa66.jpg
D182,Racaba lvs,Bunga-bunga dahon/Dwarf copperleaf lvs,83.9,58,3.3,1,8.9,2.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D180_Purslane_lvs1.png
D183,Radish,"Labanos/Rabanos, lamang ugat",94.6,20,0.6,0.1,4.1,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D183.jpg
D184,"Radish, boiled","Labanos/Rabanos, lamang ugat, nilaga",96.2,15,0.2,0.1,3.2,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D184.jpg
D185,"Radish, pod","Labanos/Rabanos, bunga",91.4,33,1.7,0.1,6.2,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D1851.png
D186,"Rhubarb, young petioles",Garden rhubarb,93,27,0.6,0.5,5.1,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa69.jpg
D187,Roselle lvs,N/A,84.2,63,2.8,0.6,11.6,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D187.jpg
D188,"Sabitan, lvs",N/A,80.6,70,6.2,0.7,9.6,2.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa70.jpg
